scada id,substation
UC000131      ,HVUONG  
UC000171      ,HVUONG  
UC000173      ,HVUONG  
UC000175      ,HVUONG  
UC000231      ,HVUONG  
UC000271      ,HVUONG  
UC000273      ,HVUONG  
UC000275      ,HVUONG  
UC000331      ,HVUONG  
UC000333      ,HVUONG  
UC000371      ,HVUONG  
UC000373      ,HVUONG  
UC000431      ,HVUONG  
UC000433      ,HVUONG  
UC000435      ,HVUONG  
UC000471      ,HVUONG  
UC000473      ,HVUONG  
UC000475      ,HVUONG  
UC000531      ,TDUA    
UC000533      ,TDUA    
UC000571      ,TDUA    
UC000573      ,TDUA    
UC000575      ,TDUA    
UC000577      ,TDUA    
UC000631      ,CLON    
UC000671      ,CLON    
UC000673      ,CLON    
UC0006L5      ,CLON    
UC000731      ,TDUA    
UC000771      ,TDUA    
UC000773      ,TDUA    
UC000775      ,TDUA    
UC000831      ,HHUNG   
UC000871      ,HHUNG   
UC000873      ,HHUNG   
UC000875      ,HHUNG   
UC000931      ,HHUNG   
UC000931      ,PCPTHO  
UC000933      ,HHUNG   
UC000933      ,PCPTHO  
UC000935      ,HHUNG   
UC000935      ,PCPTHO  
UC000971      ,HHUNG   
UC000973      ,HHUNG   
UC0009L5      ,HHUNG   
UC0009L5      ,PCPTHO  
UC001031      ,TDUA    
UC001033      ,TDUA    
UC001035      ,TDUA    
UC001071      ,TDUA    
UC001073      ,TDUA    
UC001075      ,TDUA    
UC001131      ,TDUA    
UC001171      ,TDUA    
UC001173      ,TDUA    
UC001175      ,TDUA    
UC001177      ,TDUA    
UC001231      ,TDUA    
UC001271      ,TDUA    
UC001273      ,TDUA    
UC001275      ,TDUA    
UC001277      ,TDUA    
UC001279      ,TDUA    
UC001331      ,TDUA    
UC001333      ,TDUA    
UC001371      ,TDUA    
UC001373      ,TDUA    
UC001375      ,TDUA    
UC001377      ,TDUA    
UC001431      ,TDUA    
UC001471      ,TDUA    
UC001473      ,TDUA    
UC001475      ,TDUA    
UC0014L7      ,TDUA    
UC001531      ,TDUA    
UC001533      ,TDUA    
UC001571      ,TDUA    
UC001573      ,TDUA    
UC001575      ,TDUA    
UC001671      ,TDUA    
UC001673      ,TDUA    
UC001675      ,TDUA    
UC0016L7      ,TDUA    
UC001771      ,HHUNG   
UC001773      ,HHUNG   
UC001775      ,HHUNG   
UC001777      ,HHUNG   
UC0017L9      ,HHUNG   
UC001872      ,HHUNG   
UC001874      ,HHUNG   
UC0018L6      ,HHUNG   
UC001931      ,HHUNG   
UC001971      ,HHUNG   
UC001973      ,HHUNG   
UC0019L5      ,HHUNG   
UC0019L7      ,HHUNG   
UC002072      ,TDUA    
UC002074      ,TDUA    
UC002076      ,TDUA    
UC0020L8      ,TDUA    
UC002171      ,TDUA    
UC002173      ,TDUA    
UC002175      ,TDUA    
UC0021L7      ,TDUA    
UC002271      ,TDUA    
UC002273      ,TDUA    
UC0022L5      ,TDUA    
UC0022L7      ,TDUA    
UC0022L9      ,TDUA    
UC002332      ,CLON    
UC002372      ,CLON    
UC002374      ,CLON    
UC002376      ,CLON    
UC002471      ,CLON    
UC002473      ,CLON    
UC002475      ,CLON    
UC0024L7      ,CLON    
UC0024L9      ,CLON    
UC002631      ,HHUNG   
UC002633      ,HHUNG   
UC002673      ,HHUNG   
UC002675      ,HHUNG   
UC002731      ,HHUNG   
UC002773      ,HHUNG   
UC002774      ,HHUNG   
UC002776      ,HHUNG   
UC002777      ,HHUNG   
UC002779      ,HHUNG   
UC002931      ,TDUA    
UC002933      ,TDUA    
UC002935      ,TDUA    
UC002973      ,TDUA    
UC002975      ,TDUA    
UC003031      ,TDUA    
UC003073      ,TDUA    
UC003231      ,HHUNG   
UC003233      ,HHUNG   
UC003271      ,HHUNG   
UC003273      ,HHUNG   
UC003275      ,HHUNG   
UC003331      ,HHUNG   
UC003333      ,HHUNG   
UC003371      ,HHUNG   
UC003373      ,HHUNG   
UC003375      ,HHUNG   
UC0033L7      ,HHUNG   
UC003471      ,CLON    
UC003473      ,CLON    
UC003475      ,CLON    
UC003531      ,HVUONG  
UC003533      ,HVUONG  
UC003571      ,HVUONG  
UC003573      ,HVUONG  
UC003575      ,HVUONG  
UC003577      ,HVUONG  
UC003631      ,HHUNG   
UC003671      ,HHUNG   
UC003673      ,HHUNG   
UC003731      ,HVUONG  
UC003733      ,HVUONG  
UC003771      ,HVUONG  
UC003773      ,HVUONG  
UC003775      ,HVUONG  
UC003871      ,TDUA    
UC003873      ,TDUA    
UC003875      ,TDUA    
UC0038L7      ,TDUA    
UC003931      ,CLON    
UC003971      ,CLON    
UC003973      ,CLON    
UC003975      ,CLON    
UC003977      ,CLON    
UC004031      ,CLON    
UC004071      ,CLON    
UC004073      ,CLON    
UC004075      ,CLON    
UC004131      ,TDUA    
UC004133      ,TDUA    
UC004171      ,TDUA    
UC004173      ,TDUA    
UC004231      ,TDUA    
UC004271      ,TDUA    
UC004273      ,TDUA    
UC004275      ,TDUA    
UC004277      ,TDUA    
UC004331      ,TDUA    
UC004333      ,TDUA    
UC004371      ,TDUA    
UC004373      ,TDUA    
UC004375      ,TDUA    
UC004431      ,CLON    
UC004471      ,CLON    
UC0044L3      ,CLON    
UC004531      ,HHUNG   
UC004571      ,HHUNG   
UC004573      ,HHUNG   
UC004575      ,HHUNG   
UC004577      ,HHUNG   
UC004631      ,CLON    
UC004633      ,CLON    
UC004671      ,CLON    
UC004673      ,CLON    
UC004731      ,TDUA    
UC004733      ,TDUA    
UC004771      ,TDUA    
UC004773      ,TDUA    
UC004775      ,TDUA    
UC004777      ,TDUA    
UC004831      ,CLON    
UC004833      ,CLON    
UC004871      ,CLON    
UC004873      ,CLON    
UC004875      ,CLON    
UC004877      ,CLON    
UC004931      ,HVUONG  
UC004933      ,HVUONG  
UC004971      ,HVUONG  
UC004973      ,HVUONG  
UC004975      ,HVUONG  
UC004977      ,HVUONG  
UC005031      ,HHUNG   
UC005071      ,HHUNG   
UC005073      ,HHUNG   
UC005075      ,HHUNG   
UC005077      ,HHUNG   
UC005171      ,TDUA    
UC005173      ,TDUA    
UC005175      ,TDUA    
UC005177      ,TDUA    
UC005179      ,TDUA    
UC005271      ,TDUA    
UC005273      ,TDUA    
UC005275      ,TDUA    
UC005331      ,TDUA    
UC005333      ,TDUA    
UC005371      ,TDUA    
UC005373      ,TDUA    
UC005375      ,TDUA    
UC005377      ,TDUA    
UC005471      ,HHUNG   
UC005473      ,HHUNG   
UC005475      ,HHUNG   
UC005477      ,HHUNG   
UC005479      ,HHUNG   
UC005571      ,HHUNG   
UC005573      ,HHUNG   
UC005575      ,HHUNG   
UC005577      ,HHUNG   
UC005579      ,HHUNG   
UC005581      ,HHUNG   
UC005671      ,PCPTHO  
UC005673      ,PCPTHO  
UC005675      ,PCPTHO  
UC005677      ,PCPTHO  
UC005679      ,PCPTHO  
UC005681      ,PCPTHO  
UC005771      ,PCPTHO  
UC005773      ,PCPTHO  
UC005775      ,PCPTHO  
UC005777      ,PCPTHO  
UC005779      ,PCPTHO  
UC005871      ,PCPTHO  
UC005873      ,PCPTHO  
UC005875      ,PCPTHO  
UC005877      ,PCPTHO  
UC005971      ,PCPTHO  
UC005973      ,PCPTHO  
UC005975      ,PCPTHO  
UC005977      ,PCPTHO  
UC006031      ,PCPTHO  
UC006033      ,PCPTHO  
UC006071      ,PCPTHO  
UC006073      ,PCPTHO  
UC006075      ,PCPTHO  
UC006131      ,PCPTHO  
